batch_size,conv_dropout,conv_filters,dense_dropout,dense_size,learning_rate,val_auc
64,0.4,16,0.4,128,0.0005,0.8190402348468931
64,0.4,16,0.4,128,0.0001,0.8200178744944586
64,0.4,16,0.5,32,0.001,0.8151967671621408
64,0.4,16,0.5,32,0.0005,0.8156227020851935
64,0.4,16,0.5,32,0.0001,0.8110482102526393
64,0.4,16,0.5,64,0.001,0.8187893107568675
64,0.4,16,0.5,64,0.0005,0.8182078562424497
64,0.4,16,0.5,64,0.0001,0.8161015711171806
64,0.4,16,0.5,128,0.001,0.8223412305005515
64,0.4,16,0.5,128,0.0005,0.8198373240453805
64,0.4,16,0.5,128,0.0001,0.8195488536687852
64,0.4,32,0.3,32,0.001,0.8179805268133831
64,0.4,32,0.3,32,0.0005,0.8191846752061558
64,0.4,32,0.3,32,0.0001,0.815705180813068
64,0.4,32,0.3,64,0.001,0.8224778743631493
64,0.4,32,0.3,64,0.0005,0.8205533707127476
64,0.4,32,0.3,64,0.0001,0.8201106117705761
64,0.4,32,0.3,128,0.001,0.8240178876254005
64,0.4,32,0.3,128,0.0005,0.8237335206681023
64,0.4,32,0.3,128,0.0001,0.8205410604548558
64,0.4,32,0.4,32,0.001,0.8194914057986238
64,0.4,32,0.4,32,0.0005,0.817684259940123
64,0.4,32,0.4,32,0.0001,0.8142435428593937
64,0.4,32,0.4,64,0.001,0.8212587484899416
64,0.4,32,0.4,64,0.0005,0.8206444666211461
64,0.4,32,0.4,64,0.0001,0.8193334241556804
64,0.4,32,0.4,128,0.001,0.8213810303849991
64,0.4,32,0.4,128,0.0005,0.8214992088607596
64,0.4,32,0.4,128,0.0001,0.8213687201271075
64,0.4,32,0.5,32,0.001,0.8176891840432796
64,0.4,32,0.5,32,0.0005,0.8148373076317034
64,0.4,32,0.5,32,0.0001,0.813690401938127
64,0.4,32,0.5,64,0.001,0.8200927618966333
64,0.4,32,0.5,64,0.0005,0.8206407735437786
64,0.4,32,0.5,64,0.0001,0.8173522933189769
64,0.4,32,0.5,128,0.001,0.8204380646304954
64,0.4,32,0.5,128,0.0005,0.8206329770471137
64,0.4,32,0.5,128,0.0001,0.820021977913756
64,0.4,64,0.3,32,0.001,0.8191311255843269
64,0.4,64,0.3,32,0.0005,0.8200835292032145
64,0.4,64,0.3,32,0.0001,0.8179673958716319
64,0.4,64,0.3,64,0.001,0.8208824649403854
64,0.4,64,0.3,64,0.0005,0.8200424950102421
64,0.4,64,0.3,64,0.0001,0.8202685934135198
64,0.4,64,0.3,128,0.001,0.8231931003466569
64,0.4,64,0.3,128,0.0005,0.8236797658753086
64,0.4,64,0.3,128,0.0001,0.8224064748673775
64,0.4,64,0.4,32,0.001,0.8191705184095806
64,0.4,64,0.4,32,0.0005,0.8176440464310101
64,0.4,64,0.4,32,0.0001,0.8164950890277851
64,0.4,64,0.4,64,0.001,0.8235275290193812
64,0.4,64,0.4,64,0.0005,0.8208422514312728
64,0.4,64,0.4,64,0.0001,0.8191709287515101
64,0.4,64,0.4,128,0.001,0.8222008935605861
64,0.4,64,0.4,128,0.0005,0.8240568701087243
64,0.4,64,0.4,128,0.0001,0.8222685999789905
64,0.4,64,0.5,32,0.001,0.8169858579757341
64,0.4,64,0.5,32,0.0005,0.8186649771521615
64,0.4,64,0.5,32,0.0001,0.8146789156468301
64,0.4,64,0.5,64,0.001,0.8202164799884448
64,0.4,64,0.5,64,0.0005,0.8200958394611062
64,0.4,64,0.5,64,0.0001,0.8181446635852723
64,0.4,64,0.5,128,0.001,0.8202673623877305
64,0.4,64,0.5,128,0.0005,0.822192276380062
64,0.4,64,0.5,128,0.0001,0.8214306817584958
128,0.2,16,0.3,32,0.001,0.8177068287462577
128,0.2,16,0.3,32,0.0005,0.8204093406954147
128,0.2,16,0.3,32,0.0001,0.8178418312411366
